NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,MEM_SEFF,TIME,GFLOPS
12,12,12,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 085 100-102 142-148],25.97 GB (estimated maximum),30.0681,73.1217
16,16,16,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 085 100-102 142-148],25.97 GB (estimated maximum),30.3254,72.2207
24,24,24,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 100-102 142-149],27.88 GB (estimated maximum),26.0965,109.173
32,32,32,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 100-102 142-149],32.17 GB (estimated maximum),31.8753,125.393
40,40,40,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 100-102 142-149],39.13 GB (estimated maximum),32.2601,131.586
48,48,48,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 100-102 142-149],49.78 GB (estimated maximum),31.3861,126.453
56,56,56,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 100-102 142-149],64.30 GB (estimated maximum),28.1961,127.897
64,64,64,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 083 100-102 142-149],83.12 GB (estimated maximum),38.5352,139.584
72,72,72,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 100-102 142-150],110.20 GB (estimated maximum),30.2926,126.805
80,80,80,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 100-102 142-150],137.83 GB (estimated maximum),41.4975,126.957
88,88,88,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 100-102 142-150],174.88 GB (estimated maximum),50.12,139.704
96,96,96,30,35,0,8,1,wheeler[001 006 009 013-023 043-050 057 100-102 142-150],226.19 GB (estimated maximum),35.6219,127.918
