NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,MEM_SEFF,TIME,GFLOPS
32,32,32,30,1,0,6,2,hopper003,462.40 MB (estimated maximum),30.2502,9.13031
32,32,32,30,1,0,6,3,hopper003,476.58 MB (estimated maximum),30.7674,8.95377
32,32,32,30,1,0,6,4,hopper003,169.17 MB (estimated maximum),27.4388,8.91667
32,32,32,30,1,0,6,5,hopper003,465.38 MB (estimated maximum),30.2453,8.87044
32,32,32,30,1,0,7,1,hopper003,540.04 MB (estimated maximum),30.0717,9.14226
32,32,32,30,1,0,7,2,hopper003,539.60 MB (estimated maximum),30.1175,10.2896
32,32,32,30,1,0,7,3,hopper003,541.30 MB (estimated maximum),31.5671,9.87713
32,32,32,30,1,0,7,4,hopper003,569.60 MB (estimated maximum),32.0323,8.563
32,32,32,30,1,0,8,1,hopper003,617.88 MB (estimated maximum),30.0527,10.0609
32,32,32,30,1,0,8,2,hopper003,617.97 MB (estimated maximum),31.1668,10.3044
32,32,32,30,1,0,8,3,hopper003,619.06 MB (estimated maximum),31.0501,10.1556
32,32,32,30,1,0,8,4,hopper003,603.84 MB (estimated maximum),29.354,12.2854
32,32,32,30,1,0,9,1,hopper003,677.78 MB (estimated maximum),30.2096,11.0547
32,32,32,30,1,0,9,2,hopper003,696.48 MB (estimated maximum),31.3858,11.1716
32,32,32,30,1,0,9,3,hopper003,696.62 MB (estimated maximum),30.6279,11.0944
32,32,32,30,1,0,10,1,hopper003,772.30 MB (estimated maximum),30.4859,10.7801
32,32,32,30,1,0,10,2,hopper003,772.73 MB (estimated maximum),31.2612,11.4676
32,32,32,30,1,0,10,3,hopper003,754.30 MB (estimated maximum),29.9409,12.4985
32,32,32,30,1,0,12,1,hopper003,928.41 MB (estimated maximum),30.3173,11.741
32,32,32,30,1,0,12,2,hopper003,905.02 MB (estimated maximum),30.6837,11.5068
32,32,32,30,1,0,14,1,hopper003,1.06 GB (estimated maximum),30.5227,11.9537
32,32,32,30,1,0,14,2,hopper003,1.06 GB (estimated maximum),30.8004,10.9436
32,32,32,30,1,0,15,1,hopper003,1.10 GB (estimated maximum),30.8472,11.9397
32,32,32,30,1,0,15,2,hopper003,1.13 GB (estimated maximum),30.06,11.5041
32,32,32,30,1,0,16,1,hopper003,1.21 GB (estimated maximum),30.459,12.1505
32,32,32,30,1,0,16,2,hopper003,1.21 GB (estimated maximum),31.0327,13.7667
32,32,32,30,1,0,18,1,hopper003,1.36 GB (estimated maximum),30.6478,13.6687
32,32,32,30,1,0,20,1,hopper003,1.51 GB (estimated maximum),30.5182,14.1968
32,32,32,30,1,0,21,1,hopper003,1.59 GB (estimated maximum),30.4984,14.0493
32,32,32,30,1,0,24,1,hopper003,1.86 GB (estimated maximum),30.5343,14.5981
32,32,32,30,1,0,25,1,hopper003,1.93 GB (estimated maximum),30.2676,15.1633
32,32,32,30,1,0,27,1,hopper003,2.09 GB (estimated maximum),29.991,14.2338
32,32,32,30,1,0,28,1,hopper003,2.12 GB (estimated maximum),31.453,13.4823
32,32,32,30,1,0,30,1,hopper003,2.27 GB (estimated maximum),30.8802,14.9207
32,32,32,30,1,0,32,1,hopper003,2.48 GB (estimated maximum),30.2829,13.6504
