NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,SLURM_JOB_NODELIST,TIME,GFLOPS
128,128,128,30,1,0,1,hopper004,50.7725,1.47761
128,128,128,30,1,0,2,hopper010,57.6135,1.31004
128,128,128,30,1,0,3,hopper004,83.7496,1.35087
128,128,128,30,1,0,4,hopper010,116.521,1.2989
128,128,128,30,1,0,5,hopper004,137.178,1.37491
128,128,128,30,1,0,6,hopper010,172.239,1.31851
128,128,128,30,1,0,7,hopper004,190.47,1.38698
128,128,128,30,1,0,8,hopper010,229.552,1.32153
