NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
64,64,64,30,2,0,1,30,hopper[004 010],30.0464,3.92477
64,64,64,30,2,0,1,31,hopper[004 010],30.2453,3.94891
64,64,64,30,2,0,1,32,hopper[004 010],30.266,3.91296
64,64,64,30,2,0,2,1,hopper[004 010],30.8354,5.44563
64,64,64,30,2,0,2,2,hopper[004 010],31.8903,6.41062
64,64,64,30,2,0,2,3,hopper[004 010],32.6752,6.83531
64,64,64,30,2,0,2,4,hopper[004 010],32.6585,6.84853
64,64,64,30,2,0,2,5,hopper[004 010],31.6908,7.05581
64,64,64,30,2,0,2,6,hopper[004 010],31.6698,6.99428
64,64,64,30,2,0,2,7,hopper[004 010],31.3783,7.1299
64,64,64,30,2,0,2,8,hopper[004 010],31.5407,7.08456
64,64,64,30,2,0,2,9,hopper[004 010],37.3292,5.78691
64,64,64,30,2,0,2,10,hopper[004 010],31.6488,6.98239
64,64,64,30,2,0,2,11,hopper[004 010],32.3739,5.67717
64,64,64,30,2,0,2,12,hopper[004 010],30.0118,6.78391
64,64,64,30,2,0,2,13,hopper[004 010],30.3837,6.58649
64,64,64,30,2,0,2,14,hopper[004 010],29.9705,6.7174
64,64,64,30,2,0,2,15,hopper[004 010],31.0402,6.55076
64,64,64,30,2,0,2,16,hopper[004 010],30.8713,5.41233
64,64,64,30,2,0,3,1,hopper[004 010],32.3222,7.8075
64,64,64,30,2,0,3,2,hopper[004 010],30.6325,9.08488
64,64,64,30,2,0,3,3,hopper[004 010],30.069,9.32572
64,64,64,30,2,0,3,4,hopper[004 010],31.9726,9.64849
64,64,64,30,2,0,3,5,hopper[004 010],31.9992,9.64791
64,64,64,30,2,0,3,6,hopper[004 010],31.8615,7.7912
64,64,64,30,2,0,3,7,hopper[004 010],30.1162,9.18482
64,64,64,30,2,0,3,8,hopper[004 010],30.2252,8.15875
64,64,64,30,2,0,3,9,hopper[004 010],30.6212,9.0984
64,64,64,30,2,0,3,10,hopper[004 010],28.98,8.71557
64,64,64,30,2,0,4,1,hopper[004 010],33.4189,10.1297
64,64,64,30,2,0,4,2,hopper[004 010],32.3304,11.6123
64,64,64,30,2,0,4,3,hopper[004 010],31.5604,11.9065
64,64,64,30,2,0,4,4,hopper[004 010],31.4203,11.974
64,64,64,30,2,0,4,5,hopper[004 010],33.0477,9.96018
64,64,64,30,2,0,4,6,hopper[004 010],31.606,9.36877
64,64,64,30,2,0,4,7,hopper[004 010],31.3254,9.54157
64,64,64,30,2,0,4,8,hopper[004 010],30.8031,9.76931
64,64,64,30,2,0,5,1,hopper[004 010],33.0669,12.7307
64,64,64,30,2,0,5,2,hopper[004 010],32.7341,14.2307
64,64,64,30,2,0,5,3,hopper[004 010],32.0035,14.4646
64,64,64,30,2,0,5,4,hopper[005-006],31.2843,10.3965
